,tag,cluster
0,geographical feature,0
1,nature,0
2,mountain,0
3,grassland,0
4,plant,0
0,city,1
1,building,1
2,urban area,1
3,metropolitan area,1
4,geographical feature,1
0,vehicle,2
1,motor vehicle,2
2,car,2
3,land vehicle,2
4,automotive exterior,2
0,music,3
1,song,3
2,food,3
3,style,3
4,artwork,3
0,hair,4
1,long hair,4
2,person,4
3,wig,4
4,costume,4
0,vehicle,5
1,sports,5
2,bicycle,5
3,car,5
4,cycling,5
0,hair,6
1,long hair,6
2,brown hair,6
3,layered hair,6
4,braid,6
0,animal,7
1,pet,7
2,dog,7
3,mammal,7
4,puppy,7
0,food,8
1,meal,8
2,meat,8
3,animal,8
4,snack,8
0,food,9
1,cooking,9
2,service,9
3,dish,9
4,cuisine,9
0,plant,10
1,tree,10
2,nature,10
3,vegetation,10
4,geographical feature,10
0,monument,11
1,artwork,11
2,statue,11
3,art,11
4,sculpture,11
0,artwork,12
1,graphics,12
2,art,12
3,graphic design,12
4,text,12
0,person,13
1,people,13
2,human,13
3,pedestrian,13
0,clothing,14
1,dress,14
2,fashion,14
3,person,14
4,fashion model,14
0,glasses,15
1,eyewear,15
2,sunglasses,15
3,hair,15
4,person,15
0,road,16
1,street,16
2,city,16
3,vehicle,16
4,sidewalk,16
0,material,17
1,computer,17
2,mobile phone,17
3,technology,17
4,jewellery,17
0,sports,18
1,physical fitness,18
2,physical exercise,18
3,room,18
4,gym,18
0,fashion,19
1,person,19
2,fashion model,19
3,clothing,19
4,fashion accessory,19
0,room,20
1,kitchen,20
2,bathroom,20
3,classroom,20
4,living room,20
0,top,21
1,t shirt,21
2,shirt,21
3,clothing,21
4,fashion,21
0,sports,22
1,physical fitness,22
2,physical exercise,22
3,muscle,22
4,strength training,22
0,eyebrow,23
1,cosmetics,23
2,organ,23
3,lip,23
4,eye,23
0,plant,24
1,flower,24
2,artwork,24
3,person,24
4,flower bouquet,24
0,toy,25
1,doll,25
2,barbie,25
3,balloon,25
4,plush,25
0,tattoo,26
1,person,26
2,tattoo artist,26
3,style,26
4,animal,26
0,infant,27
1,child,27
2,person,27
3,toy,27
4,people,27
0,hand,28
1,finger,28
2,nail,28
3,cosmetics,28
4,tutorial,28
0,sports,29
1,ball game,29
2,team sport,29
3,games,29
4,player,29
0,song,30
1,music,30
2,person,30
3,child,30
4,infant,30
0,person,31
1,smile,31
2,facial expression,31
3,happiness,31
4,people,31
0,footwear,32
1,shoe,32
2,fashion,32
3,leg,32
4,sneakers,32
0,room,33
1,interior design,33
2,building,33
3,kitchen,33
4,furniture,33
0,event,34
1,dance,34
2,entertainment,34
3,performing arts,34
4,music,34
0,nature,35
1,vegetation,35
2,animal,35
3,tourism,35
4,outdoor recreation,35
0,musical instrument,36
1,drum,36
2,musician,36
3,guitar,36
4,plucked string instruments,36
0,sea,37
1,ocean,37
2,geographical feature,37
3,beach,37
4,coast,37
0,plant,38
1,flower,38
2,flora,38
3,nature,38
4,flowering plant,38
0,vehicle,39
1,car,39
2,motorcycle,39
3,road,39
4,land vehicle,39
0,sports,40
1,ball game,40
2,team sport,40
3,boardsport,40
4,combat sport,40
0,underwater,41
1,sports,41
2,diving,41
3,swimming pool,41
4,water sport,41
0,drink,42
1,alcoholic beverage,42
2,food,42
3,bottle,42
4,cup,42
0,furniture,43
1,table,43
2,wood,43
3,chair,43
4,room,43
0,building,44
1,house,44
2,property,44
3,home,44
4,architecture,44
0,animation,45
1,art,45
2,illustration,45
3,artwork,45
4,animated cartoon,45
0,style,46
1,food,46
2,interior design,46
3,animal,46
4,games,46
0,cosmetics,47
1,skin,47
2,eyebrow,47
3,perfume,47
4,lip,47
0,style,48
1,black and white,48
2,monochrome,48
3,black,48
4,photography,48
0,skin,49
1,cream,49
2,skin care,49
3,cosmetics,49
4,lotion,49
